Character,Season,emotion,line_count
chandler,1,anger,85
chandler,1,disgust,83
chandler,1,fear,24
chandler,1,joy,72
chandler,1,neutral,326
chandler,1,sadness,28
chandler,1,surprise,199
chandler,2,anger,20
chandler,2,disgust,21
chandler,2,joy,10
chandler,2,neutral,75
chandler,2,sadness,9
chandler,2,surprise,35
chandler,3,anger,118
chandler,3,disgust,97
chandler,3,fear,36
chandler,3,joy,90
chandler,3,neutral,315
chandler,3,sadness,29
chandler,3,surprise,140
chandler,4,anger,157
chandler,4,disgust,76
chandler,4,fear,27
chandler,4,joy,104
chandler,4,neutral,302
chandler,4,sadness,32
chandler,4,surprise,214
chandler,5,anger,146
chandler,5,disgust,79
chandler,5,fear,16
chandler,5,joy,131
chandler,5,neutral,297
chandler,5,sadness,33
chandler,5,surprise,239
chandler,6,anger,151
chandler,6,disgust,86
chandler,6,fear,35
chandler,6,joy,143
chandler,6,neutral,339
chandler,6,sadness,41
chandler,6,surprise,241
chandler,7,anger,131
chandler,7,disgust,69
chandler,7,fear,32
chandler,7,joy,99
chandler,7,neutral,261
chandler,7,sadness,36
chandler,7,surprise,219
chandler,8,anger,70
chandler,8,disgust,67
chandler,8,fear,20
chandler,8,joy,78
chandler,8,neutral,210
chandler,8,sadness,20
chandler,8,surprise,208
chandler,9,anger,107
chandler,9,disgust,69
chandler,9,fear,22
chandler,9,joy,102
chandler,9,neutral,282
chandler,9,sadness,47
chandler,9,surprise,235
chandler,10,anger,86
chandler,10,disgust,42
chandler,10,fear,16
chandler,10,joy,89
chandler,10,neutral,250
chandler,10,sadness,33
chandler,10,surprise,171
joey,1,anger,81
joey,1,disgust,73
joey,1,fear,7
joey,1,joy,49
joey,1,neutral,242
joey,1,sadness,22
joey,1,surprise,166
joey,2,anger,14
joey,2,disgust,23
joey,2,fear,5
joey,2,joy,6
joey,2,neutral,82
joey,2,sadness,9
joey,2,surprise,33
joey,3,anger,79
joey,3,disgust,88
joey,3,fear,17
joey,3,joy,110
joey,3,neutral,275
joey,3,sadness,23
joey,3,surprise,183
joey,4,anger,137
joey,4,disgust,75
joey,4,fear,20
joey,4,joy,116
joey,4,neutral,235
joey,4,sadness,21
joey,4,surprise,212
joey,5,anger,170
joey,5,disgust,93
joey,5,fear,15
joey,5,joy,148
joey,5,neutral,213
joey,5,sadness,39
joey,5,surprise,254
joey,6,anger,139
joey,6,disgust,91
joey,6,fear,18
joey,6,joy,168
joey,6,neutral,221
joey,6,sadness,33
joey,6,surprise,237
joey,7,anger,164
joey,7,disgust,67
joey,7,fear,28
joey,7,joy,151
joey,7,neutral,247
joey,7,sadness,23
joey,7,surprise,250
joey,8,anger,128
joey,8,disgust,83
joey,8,fear,34
joey,8,joy,127
joey,8,neutral,274
joey,8,sadness,24
joey,8,surprise,239
joey,9,anger,105
joey,9,disgust,64
joey,9,fear,20
joey,9,joy,110
joey,9,neutral,230
joey,9,sadness,45
joey,9,surprise,215
joey,10,anger,100
joey,10,disgust,55
joey,10,fear,21
joey,10,joy,107
joey,10,neutral,236
joey,10,sadness,31
joey,10,surprise,179
monica,1,anger,110
monica,1,disgust,69
monica,1,fear,7
monica,1,joy,63
monica,1,neutral,345
monica,1,sadness,32
monica,1,surprise,246
monica,2,anger,17
monica,2,disgust,23
monica,2,fear,9
monica,2,joy,19
monica,2,neutral,107
monica,2,sadness,15
monica,2,surprise,53
monica,3,anger,93
monica,3,disgust,69
monica,3,fear,19
monica,3,joy,85
monica,3,neutral,314
monica,3,sadness,36
monica,3,surprise,231
monica,4,anger,113
monica,4,disgust,73
monica,4,fear,16
monica,4,joy,104
