Character,Season,sentiment,line_count
chandler,1,negative,137
chandler,1,neutral,349
chandler,1,positive,331
chandler,2,negative,35
chandler,2,neutral,68
chandler,2,positive,67
chandler,3,negative,133
chandler,3,neutral,348
chandler,3,positive,344
chandler,4,negative,148
chandler,4,neutral,370
chandler,4,positive,394
chandler,5,negative,147
chandler,5,neutral,355
chandler,5,positive,439
chandler,6,negative,169
chandler,6,neutral,389
chandler,6,positive,478
chandler,7,negative,139
chandler,7,neutral,331
chandler,7,positive,377
chandler,8,negative,126
chandler,8,neutral,291
chandler,8,positive,256
chandler,9,negative,173
chandler,9,neutral,334
chandler,9,positive,357
chandler,10,negative,113
chandler,10,neutral,312
chandler,10,positive,262
joey,1,negative,94
joey,1,neutral,315
joey,1,positive,231
joey,2,negative,25
joey,2,neutral,78
joey,2,positive,69
joey,3,negative,95
joey,3,neutral,349
joey,3,positive,331
joey,4,negative,127
joey,4,neutral,356
joey,4,positive,333
joey,5,negative,151
joey,5,neutral,382
joey,5,positive,399
joey,6,negative,140
joey,6,neutral,332
joey,6,positive,435
joey,7,negative,122
joey,7,neutral,393
joey,7,positive,415
joey,8,negative,173
joey,8,neutral,331
joey,8,positive,405
joey,9,negative,140
joey,9,neutral,325
joey,9,positive,324
joey,10,negative,130
joey,10,neutral,281
joey,10,positive,318
monica,1,negative,114
monica,1,neutral,436
monica,1,positive,322
monica,2,negative,49
monica,2,neutral,100
monica,2,positive,94
monica,3,negative,122
monica,3,neutral,395
monica,3,positive,330
monica,4,negative,123
monica,4,neutral,349
monica,4,positive,294
monica,5,negative,146
monica,5,neutral,372
monica,5,positive,380
monica,6,negative,149
monica,6,neutral,370
monica,6,positive,381
monica,7,negative,114
monica,7,neutral,407
monica,7,positive,379
monica,8,negative,116
monica,8,neutral,344
monica,8,positive,352
monica,9,negative,153
monica,9,neutral,336
monica,9,positive,355
monica,10,negative,101
monica,10,neutral,276
monica,10,positive,306
phoebe,1,negative,98
phoebe,1,neutral,265
phoebe,1,positive,274
phoebe,2,negative,26
phoebe,2,neutral,56
phoebe,2,positive,54
phoebe,3,negative,105
phoebe,3,neutral,286
phoebe,3,positive,402
phoebe,4,negative,118
phoebe,4,neutral,229
phoebe,4,positive,364
phoebe,5,negative,147
phoebe,5,neutral,297
phoebe,5,positive,369
phoebe,6,negative,115
phoebe,6,neutral,303
phoebe,6,positive,369
phoebe,7,negative,131
phoebe,7,neutral,292
phoebe,7,positive,377
phoebe,8,negative,114
phoebe,8,neutral,319
phoebe,8,positive,338
phoebe,9,negative,115
phoebe,9,neutral,245
phoebe,9,positive,371
phoebe,10,negative,102
phoebe,10,neutral,278
phoebe,10,positive,307
rachel,1,negative,109
rachel,1,neutral,384
rachel,1,positive,357
rachel,2,negative,28
rachel,2,neutral,85
rachel,2,positive,64
rachel,3,negative,120
rachel,3,neutral,383
rachel,3,positive,422
rachel,4,negative,134
rachel,4,neutral,349
rachel,4,positive,425
rachel,5,negative,140
rachel,5,neutral,302
rachel,5,positive,464
rachel,6,negative,155
rachel,6,neutral,386
rachel,6,positive,452
rachel,7,negative,172
rachel,7,neutral,425
rachel,7,positive,495
rachel,8,negative,175
rachel,8,neutral,420
rachel,8,positive,488
rachel,9,negative,128
rachel,9,neutral,332
rachel,9,positive,397
rachel,10,negative,124
rachel,10,neutral,296
rachel,10,positive,347
ross,1,negative,130
ross,1,neutral,449
ross,1,positive,373
ross,2,negative,30
ross,2,neutral,144
ross,2,positive,104
ross,3,negative,152
ross,3,neutral,439
ross,3,positive,484
ross,4,negative,97
ross,4,neutral,328
ross,4,positive,382
ross,5,negative,134
ross,5,neutral,368
ross,5,positive,368
ross,6,negative,141
ross,6,neutral,359
ross,6,positive,412
ross,7,negative,120
ross,7,neutral,321
ross,7,positive,381
ross,8,negative,152
ross,8,neutral,377
ross,8,positive,454
ross,9,negative,135
ross,9,neutral,320
ross,9,positive,386
ross,10,negative,141
ross,10,neutral,367
ross,10,positive,355
