Season,Episode,WrittenBy,Scene,Character,Dialogue,IsChorusLine,IsMainCharacter,Location_raw,Location,WordCount,EpisodeLabel
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",conan,"It's a tradition here on Friends after every taping for me to hang out with you guys, (They all laugh) talk down the episode umm The point of this whole thing is what people see in America is: they see Friends, they love the show, it looks like a smooth running machine, but behind the scenes there's deceit, mistrust, and hate. And I thought, I thought we'd actually take a look at uh, y'know some of these moments where you guys arethere are mistakes. You make mistakes.",False,False,Central Perk,Central Perk,87,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",jennifer,Once and a while.,False,False,Central Perk,Central Perk,4,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",lisa,From time to time.,False,False,Central Perk,Central Perk,4,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",conan,"For example, I don't have to memorize lines. You guys actually have to remember what to say and you probably forget from time to time. Yes?",False,False,Central Perk,Central Perk,26,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",matthew,"Our energy just comes way up when there's an audience here and when that happens, something happens between your brain and your mouth sometimes and it just doesn't, it just doesn't work.",False,False,Central Perk,Central Perk,32,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",ross,"Uh, oh-oh, umm no you didn't. I did.",False,True,Central Perk,Central Perk,8,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",chandler,"Oh uh-uh, no-no-no-no-uh-uh. (He starts laughing, causing everyone else to laugh.)",False,True,Central Perk,Central Perk,11,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",phoebe,"So, we realize thatOh no (She resets herself) I'm telling it! I'm telling it (She loses it.)",False,True,Central Perk,Central Perk,17,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",joey,"Ha-ha. LookCome on, I don't know what to door say. (He laughs.)",False,True,Central Perk,Central Perk,13,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",joey,"Ha-ha, very funny. I don't know what to do! Y'know? Holy crud!",False,True,Central Perk,Central Perk,12,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",joey,"Ha-ha-ha, very funny. Look, I don't know what to do! (Long pause, as everyone cracks up.)",False,True,Central Perk,Central Perk,16,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",courtney,It is one of those days!,False,False,Central Perk,Central Perk,6,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",phoebe,"Xcusa seniora, voulez-bere quakay[Beep]uck it!",False,True,Central Perk,Central Perk,5,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",matt,"Wow Pheebs, you-you speak gutter?",False,False,Central Perk,Central Perk,5,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",conan,You still get nervous everybody just before a show?,False,False,Central Perk,Central Perk,9,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",matthew,Absolutely.,False,False,Central Perk,Central Perk,1,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",lisa,Everybody.,False,False,Central Perk,Central Perk,1,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",courtney,"It's amazing like all week long we've-we've been saying the same lines and then the audience is here and we will mess up, and if you mess up once, then you'll get nervous because you'llyou know you'll probably mess up again.",False,False,Central Perk,Central Perk,41,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",monica,(holding her hand in front of her face) When you were little you slept through-through the Grand Canyon.,False,True,Central Perk,Central Perk,18,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",courtney,This'll be five/ten takes.,False,False,Central Perk,Central Perk,4,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",courtney,Okay. You know it's gonna happen.,False,False,Central Perk,Central Perk,6,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",monica,(the hand's still there) When-when you were little you slept through the Grand Canyon. (She actually itches her nose this time.),False,True,Central Perk,Central Perk,21,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",courtney,Oh! Okay! I'm gonna try it without the coffee cup cause I think it's the left hand that's messing me up.,False,False,Central Perk,Central Perk,21,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",monica,When you were little you slept through the Grand(Pointing again)Oh fffff.,False,True,Central Perk,Central Perk,12,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",monica,"Sorry, let's go back! Cause you've got more to say.",False,True,Central Perk,Central Perk,10,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",lisa,"Do I? Absolutely. Absolutely. Yeah, that's your fault. Isay.",False,False,Central Perk,Central Perk,10,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",lisa,I love you.,False,False,Central Perk,Central Perk,3,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",courtney,I love you! (They hug.),False,False,Central Perk,Central Perk,5,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",conan,"But there must be, there mustare a lot of moments over the years where you're just trying to do your job, something goes wrong.",False,False,Central Perk,Central Perk,24,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",joey,"Hey and, this is a little extra something for y'know, always being there for me.",False,True,Central Perk,Central Perk,15,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",matthew,Hey Joey! The camera hit our wall!,False,False,Central Perk,Central Perk,7,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",matt,What?!,False,False,Central Perk,Central Perk,1,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",david,Ahh! Sh(Beep)it that hurt!,False,False,Central Perk,Central Perk,4,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",jennifer,Are you okay?,False,False,Central Perk,Central Perk,3,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",chandler,Hey Rach! (She breaks up and goes back into Monica's.),False,True,Central Perk,Central Perk,10,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",joey,Oh yeah? Then how come I keep(He notices that the marker board they use has been left on the entertainment center and holds up his discovery.),False,True,Central Perk,Central Perk,26,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",monica,It was so wild! We told em we were the Gunderson's in 16,False,True,Central Perk,Central Perk,13,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",courtney,(laughing) I spit on her!,False,False,Central Perk,Central Perk,5,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",jennifer,(to Lisa) Operation. You had a fun one.,False,False,Central Perk,Central Perk,8,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",lisa,Oh yeah!,False,False,Central Perk,Central Perk,2,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",jennifer,With Operation.,False,False,Central Perk,Central Perk,2,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",conan,"It was a little game. Yeah, with an electric buzzer.",False,False,Central Perk,Central Perk,10,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",phoebe,"Oh-ooh, and I brought Operation, but umm I lost the umm (It starts buzzing) It's making a noise.",False,True,Central Perk,Central Perk,18,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",lisa,But le Blanc really doesn't mess up much.,False,False,Central Perk,Central Perk,8,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",conan,"You don't verbally mess up, but sometimes physically? You mess up.",False,False,Central Perk,Central Perk,11,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",matt,I have had some clumsy moments I guess you can call em.,False,False,Central Perk,Central Perk,12,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",lisa,He fell down once! And we re-did it and we went back. And he(laughs)he was afraid he was gonna fall down,False,False,Central Perk,Central Perk,21,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",conan,You could actually see him trying not to fall down.,False,False,Central Perk,Central Perk,10,Unknown
